,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,183512,182008,99.2,178633,98.1
input2,149017,147643,99.1,133191,90.2
input3,137408,136139,99.1,129649,95.19999999999999
b1,128720,128355,99.7,127008,99.0
b2,127307,126976,99.7,125682,99.0
b3,304099,302685,99.5,277547,91.7
