,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,281165,278853,99.2,276048,99.0
input2,225760,224077,99.3,220529,98.4
input3,218135,216479,99.2,214004,98.9
b1,117887,116629,98.9,115150,98.7
b2,298602,295365,98.9,292993,99.2
b3,175438,173508,98.9,172095,99.2
