,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,298,196509,208,60.099999999999994,186506.0,94.89999999999999,130,90,10003.0
input2,600,161461,210,60.699999999999996,151288.0,93.7,130,390,10173.0
input3,438,8236,196,56.599999999999994,7318.0,88.9,130,242,918.0
b1,264,239662,178,51.4,217142.0,90.60000000000001,130,86,22520.0
b2,270,193480,171,49.4,175435.0,90.7,130,99,18045.0
b3,271,205469,174,50.3,184817.0,89.9,130,97,20652.0
