,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,197867,197324,99.7,172141,87.2
input2,162852,162306,99.7,140641,86.7
input3,8493,8433,99.3,6883,81.6
b1,160073,159924,99.9,148241,92.7
b2,258423,258154,99.9,240550,93.2
b3,233367,233138,99.9,216953,93.10000000000001
