,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,298,196509,208,60.099999999999994,186506.0,94.89999999999999,130,90,10003.0
input2,600,161461,210,60.699999999999996,151288.0,93.7,130,390,10173.0
input3,438,8236,196,56.599999999999994,7318.0,88.9,130,242,918.0
b1,269,158910,170,49.1,144321.0,90.8,130,99,14589.0
b2,234,256798,171,49.4,239088.0,93.10000000000001,130,63,17710.0
b3,231,232018,174,50.3,215068.0,92.7,130,57,16950.0
