,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,146904,145373,99.0,143455,98.7
input2,202806,200478,98.9,191938,95.7
input3,155804,154000,98.8,147445,95.7
b1,294105,291242,99.0,273579,93.89999999999999
b2,234354,231184,98.6,228813,99.0
b3,215436,213456,99.1,211219,99.0
