,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,281165,278853,99.2,276048,99.0
input2,225760,224077,99.3,220529,98.4
input3,218135,216479,99.2,214004,98.9
b1,295289,294587,99.8,283975,96.39999999999999
b2,263344,262761,99.8,253329,96.39999999999999
b3,196414,195923,99.8,186755,95.3
