,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,697,277709,225,65.0,265189.0,95.5,116,472,12520.0
input2,731,222982,228,65.9,211910.0,95.0,116,503,11072.0
input3,677,215479,224,64.7,205572.0,95.39999999999999,116,453,9907.0
b1,578,292089,205,59.199999999999996,274430.0,94.0,116,373,17659.0
b2,563,260501,205,59.199999999999996,245363.0,94.19999999999999,116,358,15138.0
b3,574,193812,205,59.199999999999996,180897.0,93.30000000000001,116,369,12915.0
