,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,265189.0,920.0,0.3,198756.0,74.9,65513.0,24.7,0.0,0.0
input2,211910.0,760.0,0.4,162840.0,76.8,48310.0,22.8,0.0,0.0
input3,205572.0,705.0,0.3,156011.0,75.9,48856.0,23.799999999999997,0.0,0.0
b1,274430.0,1033.0,0.4,264120.0,96.2,9277.0,3.4000000000000004,0.0,0.0
b2,245363.0,541.0,0.2,235073.0,95.8,9749.0,4.0,0.0,0.0
b3,180897.0,475.0,0.3,173597.0,96.0,6825.0,3.8,0.0,0.0
