,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,12551,19491144,3939,13.8,18663243.0,95.8,24245,8612,827901.0
input2,11930,19131819,3424,12.0,18320439.0,95.8,24245,8506,811380.0
input3,11285,13755528,3338,11.700000000000001,13170154.0,95.7,24245,7947,585374.0
b1,10965,21109826,3152,11.1,20233866.0,95.89999999999999,24245,7813,875960.0
b2,11256,22048117,3160,11.1,21111652.0,95.8,24245,8096,936465.0
b3,12265,22434017,3648,12.8,21495260.0,95.8,24245,8617,938757.0
