,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,19782582,19502148,98.6,19415577,99.6
input2,19429352,19142342,98.5,19060795,99.6
input3,13958447,13764688,98.6,13707228,99.6
b1,21377948,21122331,98.8,21050859,99.7
b2,22340001,22060942,98.8,21981559,99.6
b3,22827214,22482986,98.5,22324120,99.3
