,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,197362.0,6257.0,3.2,162592.0,82.39999999999999,28513.0,14.399999999999999,0.0,0.0
input2,166685.0,5030.0,3.0,137866.0,82.69999999999999,23789.0,14.299999999999999,0.0,0.0
b1,217587.0,6786.0,3.1,176073.0,80.9,34728.0,16.0,0.0,0.0
b2,120758.0,3785.0,3.1,98379.0,81.5,18594.0,15.4,0.0,0.0
b3,192039.0,6037.0,3.1,158599.0,82.6,27403.0,14.299999999999999,0.0,0.0
