,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,20653,21234393,6889,19.2,20894291.0,98.4,27882,13764,340102.0
input2,21024,20533423,7033,19.6,20200430.0,98.4,27882,13991,332993.0
input3,22273,25127019,7524,21.0,24724292.0,98.4,27882,14749,402727.0
b1,12767,8179531,4773,13.3,8009598.0,97.89999999999999,27882,7994,169933.0
b2,14376,15050214,5275,14.7,14740500.0,97.89999999999999,27882,9101,309714.0
b3,15921,28463924,5671,15.8,27956527.0,98.2,27882,10250,507397.0
