,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,11528660,11460259,99.4,11416024,99.6
input2,12480091,12408126,99.4,12361581,99.6
input3,12048736,11977468,99.4,11928869,99.6
b1,12834631,12819831,99.9,12768905,99.6
b2,13683173,13667529,99.9,13613141,99.6
b3,19245380,19223391,99.9,19131214,99.5
