,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,177201.0,4155.0,2.3,137563.0,77.60000000000001,35483.0,20.0,0.0,0.0
input2,132214.0,3242.0,2.5,105491.0,79.80000000000001,23481.0,17.8,0.0,0.0
input3,128615.0,3046.0,2.4,99907.0,77.7,25662.0,20.0,0.0,0.0
b2,144686.0,16244.0,11.200000000000001,64922.0,44.9,63520.0,43.9,0.0,0.0
b3,109000.0,1472.0,1.4000000000000001,45255.0,41.5,62273.0,57.099999999999994,0.0,0.0
