,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,20894291.0,803.0,0.0,1324511.0,6.3,0.0,0.0,19568977.0,93.7
input2,20200430.0,524.0,0.0,1308382.0,6.5,0.0,0.0,18891524.0,93.5
input3,24724292.0,1548.0,0.0,1584709.0,6.4,0.0,0.0,23138035.0,93.60000000000001
b1,18548837.0,1778.0,0.0,809636.0,4.3999999999999995,0.0,0.0,17737423.0,95.6
b2,22531477.0,1898.0,0.0,1003976.0,4.5,0.0,0.0,21525603.0,95.5
b3,19026055.0,1171.0,0.0,835355.0,4.3999999999999995,0.0,0.0,18189529.0,95.6
