,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,183512,182008,99.2,178633,98.1
input2,149017,147643,99.1,133191,90.2
input3,137408,136139,99.1,129649,95.19999999999999
b1,152778,152005,99.5,150798,99.2
b2,134100,133682,99.7,132540,99.1
b3,122829,122457,99.7,121435,99.2
