,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,10387835,10253479,98.7,10165602,99.1
input2,10156545,10026210,98.7,9946344,99.2
input3,1658521,1632800,98.4,1619924,99.2
b1,13060573,12901761,98.8,12799225,99.2
b2,11935560,11792337,98.8,11703774,99.2
b3,12605292,12460596,98.9,12370817,99.3
