,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,10032516.0,28877.0,0.3,320797.0,3.2,0.0,0.0,9682842.0,96.5
input2,9815065.0,28151.0,0.3,309579.0,3.2,0.0,0.0,9477335.0,96.6
input3,1597635.0,4374.0,0.3,50933.0,3.2,0.0,0.0,1542328.0,96.5
b1,12630995.0,37534.0,0.3,406514.0,3.2,0.0,0.0,12186947.0,96.5
b2,11553692.0,37699.0,0.3,373059.0,3.2,0.0,0.0,11142934.0,96.39999999999999
b3,12197390.0,34669.0,0.3,399039.0,3.3000000000000003,0.0,0.0,11763682.0,96.39999999999999
