,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,14135,20245597,4766,13.3,19878784.0,98.2,30743,9369,366813.0
input2,12282,14296267,3612,10.100000000000001,14036708.0,98.2,30743,8670,259559.0
input3,13948,22690163,4108,11.4,22281911.0,98.2,30743,9840,408252.0
b1,13091,17612235,4214,11.700000000000001,17293324.0,98.2,30743,8877,318911.0
b2,13386,16488045,4551,12.7,16180734.0,98.1,30743,8835,307311.0
b3,12734,12444494,4453,12.4,12224073.0,98.2,30743,8281,220421.0
