,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,10032516.0,28877.0,0.3,320797.0,3.2,0.0,0.0,9682842.0,96.5
input2,9815065.0,28151.0,0.3,309579.0,3.2,0.0,0.0,9477335.0,96.6
input3,1597635.0,4374.0,0.3,50933.0,3.2,0.0,0.0,1542328.0,96.5
b1,14417751.0,58190.0,0.4,529966.0,3.6999999999999997,0.0,0.0,13829595.0,95.89999999999999
b2,10569046.0,42715.0,0.4,391855.0,3.6999999999999997,0.0,0.0,10134476.0,95.89999999999999
b3,15655140.0,57810.0,0.4,572970.0,3.6999999999999997,0.0,0.0,15024360.0,96.0
