,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,10387835,10253479,98.7,10165602,99.1
input2,10156545,10026210,98.7,9946344,99.2
input3,1658521,1632800,98.4,1619924,99.2
b1,14784814,14729655,99.6,14619117,99.2
b2,10824900,10787497,99.7,10708635,99.3
b3,16060643,15990720,99.6,15879391,99.3
