,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,10222,11924525,3216,11.700000000000001,11677638.0,97.89999999999999,24100,7006,246887.0
input2,10629,12248559,3363,12.2,11997740.0,98.0,24100,7266,250819.0
b1,4113,17241494,1594,5.800000000000001,16566251.0,96.1,24100,2519,675243.0
b2,4112,14312144,1570,5.7,13773196.0,96.2,24100,2542,538948.0
b3,3634,10833891,1414,5.1,10443364.0,96.39999999999999,24100,2220,390527.0
