,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,12541813,11936335,95.19999999999999,11872700,99.5
input2,12886403,12262460,95.19999999999999,12193469,99.4
b1,17329759,17262260,99.6,17177031,99.5
b2,14382278,14330506,99.6,14253329,99.5
b3,10889059,10846228,99.6,10793137,99.5
