,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,876,256167,276,82.6,246643.0,96.3,53,600,9524.0
input2,1963,238543,275,82.3,220271.0,92.30000000000001,53,1688,18272.0
input3,1921,193802,276,82.6,179455.0,92.60000000000001,53,1645,14347.0
b1,1226,175847,249,74.6,168292.0,95.7,53,977,7555.0
b2,1325,175628,252,75.4,167945.0,95.6,53,1073,7683.0
b3,732,238432,256,76.6,234253.0,98.2,53,476,4179.0
