,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,257881,257244,99.8,251214,97.7
input2,240724,240004,99.7,224448,93.5
input3,195512,194940,99.7,182918,93.8
b1,176992,176766,99.9,171123,96.8
b2,176794,176558,99.9,170899,96.8
b3,239820,239596,99.9,237348,99.1
