,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,298,196509,208,60.099999999999994,186506.0,94.89999999999999,130,90,10003.0
input2,600,161461,210,60.699999999999996,151288.0,93.7,130,390,10173.0
input3,438,8236,196,56.599999999999994,7318.0,88.9,130,242,918.0
b1,306,79146,198,57.199999999999996,74908.0,94.6,130,108,4238.0
b2,373,235704,206,59.5,222829.0,94.5,130,167,12875.0
b3,500,192421,208,60.099999999999994,181540.0,94.3,130,292,10881.0
