,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,186506.0,3695.0,2.0,130543.0,70.0,52268.0,28.000000000000004,0.0,0.0
input2,151288.0,3056.0,2.0,110250.0,72.89999999999999,37982.0,25.1,0.0,0.0
input3,7318.0,141.0,1.9,5197.0,71.0,1980.0,27.1,0.0,0.0
b1,74908.0,1743.0,2.3,55239.0,73.7,17926.0,23.9,0.0,0.0
b2,222829.0,5017.0,2.3,165116.0,74.1,52696.0,23.599999999999998,0.0,0.0
b3,181540.0,3850.0,2.1,127900.0,70.5,49790.0,27.400000000000002,0.0,0.0
