,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,197867,197324,99.7,172141,87.2
input2,162852,162306,99.7,140641,86.7
input3,8493,8433,99.3,6883,81.6
b1,80119,79637,99.4,70847,89.0
b2,237968,237570,99.8,210885,88.8
b3,194124,193714,99.8,169344,87.4
