,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,19782582,19502148,98.6,19415577,99.6
input2,19429352,19142342,98.5,19060795,99.6
input3,13958447,13764688,98.6,13707228,99.6
b1,21520703,21395839,99.4,21302964,99.6
b2,27780290,27550641,99.2,27442444,99.6
b3,27092540,26930028,99.4,26825814,99.6
