,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,257881,257244,99.8,251214,97.7
input2,240724,240004,99.7,224448,93.5
input3,195512,194940,99.7,182918,93.8
b1,190283,190068,99.9,188016,98.9
b2,264381,264016,99.9,220683,83.6
b3,235002,234213,99.7,208729,89.1
