,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,19782582,19502148,98.6,19415577,99.6
input2,19429352,19142342,98.5,19060795,99.6
input3,13958447,13764688,98.6,13707228,99.6
b1,22496456,22333567,99.3,22237431,99.6
b2,19702619,19566726,99.3,19479150,99.6
b3,16393444,16278522,99.3,16215401,99.6
