,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,11528660,11460259,99.4,11416024,99.6
input2,12480091,12408126,99.4,12361581,99.6
input3,12048736,11977468,99.4,11928869,99.6
b1,20231689,20153064,99.6,20071587,99.6
b2,17272158,17211899,99.7,17143210,99.6
b3,17055636,16998437,99.7,16916785,99.5
