,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,265189.0,920.0,0.3,198756.0,74.9,65513.0,24.7,0.0,0.0
input2,211910.0,760.0,0.4,162840.0,76.8,48310.0,22.8,0.0,0.0
input3,205572.0,705.0,0.3,156011.0,75.9,48856.0,23.799999999999997,0.0,0.0
b1,263618.0,1260.0,0.5,257973.0,97.89999999999999,4385.0,1.7000000000000002,0.0,0.0
b2,290733.0,985.0,0.3,284899.0,98.0,4849.0,1.7000000000000002,0.0,0.0
b3,263304.0,1060.0,0.4,258194.0,98.1,4050.0,1.5,0.0,0.0
