,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,697,277709,225,65.0,265189.0,95.5,116,472,12520.0
input2,731,222982,228,65.9,211910.0,95.0,116,503,11072.0
input3,677,215479,224,64.7,205572.0,95.39999999999999,116,453,9907.0
b1,354,268694,195,56.39999999999999,263618.0,98.1,116,159,5076.0
b2,337,296257,197,56.89999999999999,290733.0,98.1,116,140,5524.0
b3,323,268631,199,57.49999999999999,263304.0,98.0,116,124,5327.0
