,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,11528660,11460259,99.4,11416024,99.6
input2,12480091,12408126,99.4,12361581,99.6
input3,12048736,11977468,99.4,11928869,99.6
b1,17872192,17851900,99.9,17784892,99.6
b2,16932655,16914112,99.9,16855012,99.7
b3,26290662,26252140,99.9,26123887,99.5
