,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,398,201004,313,93.7,197362.0,98.2,18,85,3642.0
input2,879,172105,315,94.3,166685.0,96.89999999999999,18,564,5420.0
b1,379,115122,290,86.8,111274.0,96.7,18,89,3848.0
b2,330,112458,293,87.7,108687.0,96.6,18,37,3771.0
b3,813,184181,296,88.6,171061.0,92.9,18,517,13120.0
