,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,19878784.0,447.0,0.0,1311321.0,6.6000000000000005,0.0,0.0,18567016.0,93.4
input2,14036708.0,280.0,0.0,915936.0,6.5,0.0,0.0,13120492.0,93.5
input3,22281911.0,786.0,0.0,1451827.0,6.5,0.0,0.0,20829298.0,93.5
b1,18987298.0,2253.0,0.0,1189798.0,6.3,0.0,0.0,17795247.0,93.7
b2,18144478.0,1205.0,0.0,1136627.0,6.3,0.0,0.0,17006646.0,93.7
b3,19037863.0,1078.0,0.0,1216163.0,6.4,0.0,0.0,17820622.0,93.60000000000001
