,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,14135,20245597,4766,13.3,19878784.0,98.2,30743,9369,366813.0
input2,12282,14296267,3612,10.100000000000001,14036708.0,98.2,30743,8670,259559.0
input3,13948,22690163,4108,11.4,22281911.0,98.2,30743,9840,408252.0
b1,9765,19447209,3532,9.8,18987298.0,97.6,30743,6233,459911.0
b2,9574,18577741,3357,9.4,18144478.0,97.7,30743,6217,433263.0
b3,9602,19535242,3294,9.2,19037863.0,97.5,30743,6308,497379.0
