,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,802,181091,242,76.8,177201.0,97.89999999999999,72,560,3890.0
input2,1106,146594,241,76.5,132214.0,90.2,72,865,14380.0
input3,1065,135338,239,75.9,128615.0,95.0,72,826,6723.0
b1,851,185199,237,75.2,172597.0,93.2,72,614,12602.0
b2,835,173181,242,76.8,162654.0,93.89999999999999,72,593,10527.0
b3,817,243340,239,75.9,234363.0,96.3,72,578,8977.0
