,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,183512,182008,99.2,178633,98.1
input2,149017,147643,99.1,133191,90.2
input3,137408,136139,99.1,129649,95.19999999999999
b1,187728,186287,99.2,173859,93.30000000000001
b2,175681,174301,99.2,163712,93.89999999999999
b3,246599,244712,99.2,236101,96.5
