,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,186506.0,3695.0,2.0,130543.0,70.0,52268.0,28.000000000000004,0.0,0.0
input2,151288.0,3056.0,2.0,110250.0,72.89999999999999,37982.0,25.1,0.0,0.0
input3,7318.0,141.0,1.9,5197.0,71.0,1980.0,27.1,0.0,0.0
b1,183422.0,4028.0,2.1999999999999997,131062.0,71.5,48332.0,26.400000000000002,0.0,0.0
b2,234935.0,5588.0,2.4,181025.0,77.10000000000001,48322.0,20.599999999999998,0.0,0.0
b3,236797.0,5750.0,2.4,176898.0,74.7,54149.0,22.900000000000002,0.0,0.0
