,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,197867,197324,99.7,172141,87.2
input2,162852,162306,99.7,140641,86.7
input3,8493,8433,99.3,6883,81.6
b1,195267,195011,99.9,173114,88.8
b2,249417,249153,99.9,225062,90.3
b3,251647,251399,99.9,225509,89.7
