,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,182241,177650,97.5,173644,97.7
input2,208236,203524,97.7,193297,95.0
input3,241099,235314,97.6,231023,98.2
b1,148283,144264,97.3,142915,99.1
b2,250410,243969,97.39999999999999,237392,97.3
b3,198889,193909,97.5,190079,98.0
