,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,170007.0,3039.0,1.7999999999999998,145643.0,85.7,21325.0,12.5,0.0,0.0
input2,189360.0,3865.0,2.0,167076.0,88.2,18419.0,9.700000000000001,0.0,0.0
input3,226096.0,4401.0,1.9,196946.0,87.1,24749.0,10.9,0.0,0.0
b1,139888.0,2483.0,1.7999999999999998,119026.0,85.1,18379.0,13.100000000000001,0.0,0.0
b2,232347.0,4357.0,1.9,202531.0,87.2,25459.0,11.0,0.0,0.0
b3,186136.0,3410.0,1.7999999999999998,161710.0,86.9,21016.0,11.3,0.0,0.0
