,0
0,0.5835876174259955
1,0.6563885175827491
2,0.21867122246463985
3,0.6439676465533835
4,0.21120727996010868
5,0.739767156088828
6,0.2540587605322161
7,0.6618437018840939
8,0.24229640892884105
9,0.1750104525128623
10,0.7023839614984748
11,0.2804424640019702
12,0.6850501107127495
13,0.22792949912722288
14,0.6520767921694375
15,0.2653109357399667
16,0.6895405827303709
17,0.26487978878666874
18,0.7237697312336407
19,0.7449885024295747
20,0.6648422715331281
21,0.6776590676045793
22,0.26973151732739675
23,0.7157647132963199
24,0.30786472718536867
25,0.7053559484508564
26,0.29231489718522446
27,0.24154822487188704
28,0.7358768414760004
29,0.7514105369028998
30,0.7048037256067342
31,0.2274787752344358
32,0.224
33,0.25925549450549445
34,0.2895539333106364
35,0.18251656185364207
36,0.1605124137501567
37,0.1552404609512046
38,0.23656861389945363
39,0.1862222348198457
40,0.1679034819294636
41,0.15027717732125434
42,0.19183275838422972
43,0.19018852440709727
44,0.13724116907478814
45,0.13353665194325096
46,0.19437885063711385
47,0.24627210884353745
48,0.2551969479635213
