,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,146904,145373,99.0,143455,98.7
input2,202806,200478,98.9,191938,95.7
input3,155804,154000,98.8,147445,95.7
b1,242180,239897,99.1,237710,99.1
b2,247833,245409,99.0,243023,99.0
b3,142884,141788,99.2,140017,98.8
