,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,177201.0,4155.0,2.3,137563.0,77.60000000000001,35483.0,20.0,0.0,0.0
input2,132214.0,3242.0,2.5,105491.0,79.80000000000001,23481.0,17.8,0.0,0.0
input3,128615.0,3046.0,2.4,99907.0,77.7,25662.0,20.0,0.0,0.0
b1,150909.0,658.0,0.4,145587.0,96.5,4664.0,3.1,0.0,0.0
b2,104610.0,1191.0,1.0999999999999999,100881.0,96.39999999999999,2538.0,2.4,0.0,0.0
b3,118978.0,315.0,0.3,114883.0,96.6,3780.0,3.2,0.0,0.0
