,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,802,181091,242,76.8,177201.0,97.89999999999999,72,560,3890.0
input2,1106,146594,241,76.5,132214.0,90.2,72,865,14380.0
input3,1065,135338,239,75.9,128615.0,95.0,72,826,6723.0
b1,343,151428,218,69.19999999999999,150909.0,99.7,72,125,519.0
b2,325,105032,212,67.30000000000001,104610.0,99.6,72,113,422.0
b3,339,119451,218,69.19999999999999,118978.0,99.6,72,121,473.0
