,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,183512,182008,99.2,178633,98.1
input2,149017,147643,99.1,133191,90.2
input3,137408,136139,99.1,129649,95.19999999999999
b1,152521,152186,99.8,150843,99.1
b2,105710,105497,99.8,104537,99.1
b3,120302,120028,99.8,118922,99.1
