,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,15999339,15718043,98.2,15618673,99.4
input2,10378612,10057373,96.89999999999999,9995573,99.4
input3,21644870,21254812,98.2,21116232,99.3
b1,13010968,12795448,98.3,12702627,99.3
b2,13289766,13062281,98.3,12966325,99.3
b3,11849811,11644435,98.3,11560858,99.3
