,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,19782582,19502148,98.6,19415577,99.6
input2,19429352,19142342,98.5,19060795,99.6
input3,13958447,13764688,98.6,13707228,99.6
b1,13132504,13075487,99.6,13021615,99.6
b2,17026806,16942618,99.5,16875203,99.6
b3,13385442,13323469,99.5,13274770,99.6
