,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,876,256167,276,82.6,246643.0,96.3,53,600,9524.0
input2,1963,238543,275,82.3,220271.0,92.30000000000001,53,1688,18272.0
input3,1921,193802,276,82.6,179455.0,92.60000000000001,53,1645,14347.0
b1,662,171396,223,66.8,167695.0,97.8,53,439,3701.0
b2,379,116481,229,68.60000000000001,114312.0,98.1,53,150,2169.0
b3,567,135918,211,63.2,133107.0,97.89999999999999,53,356,2811.0
