,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,624,144673,236,80.0,142550.0,98.5,56,388,2123.0
input2,1386,199309,238,80.7,190793.0,95.7,56,1148,8516.0
input3,1357,153047,238,80.7,146548.0,95.8,56,1119,6499.0
b1,612,165438,213,72.2,132464.0,80.10000000000001,56,399,32974.0
b2,620,222829,221,74.9,190167.0,85.3,56,399,32662.0
b3,615,185577,219,74.2,159890.0,86.2,56,396,25687.0
