,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,146904,145373,99.0,143455,98.7
input2,202806,200478,98.9,191938,95.7
input3,155804,154000,98.8,147445,95.7
b1,170388,168105,98.7,137876,82.0
b2,228504,225498,98.7,198008,87.8
b3,190130,187728,98.7,166983,88.9
