,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,146904,145373,99.0,143455,98.7
input2,202806,200478,98.9,191938,95.7
input3,155804,154000,98.8,147445,95.7
b1,420838,416633,99.0,380483,91.3
b2,316338,313518,99.1,275385,87.8
b3,223872,222122,99.2,194263,87.5
