,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,19782582,19502148,98.6,19415577,99.6
input2,19429352,19142342,98.5,19060795,99.6
input3,13958447,13764688,98.6,13707228,99.6
b1,19299185,19201788,99.5,19116156,99.6
b2,20374902,20271889,99.5,20185503,99.6
b3,23501500,23365008,99.4,23275004,99.6
