,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,257881,257244,99.8,251214,97.7
input2,240724,240004,99.7,224448,93.5
input3,195512,194940,99.7,182918,93.8
b1,174683,174361,99.8,166579,95.5
b2,150832,150491,99.8,143020,95.0
b3,190578,190299,99.9,181808,95.5
