,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,20653,21234393,6889,19.2,20894291.0,98.4,27882,13764,340102.0
input2,21024,20533423,7033,19.6,20200430.0,98.4,27882,13991,332993.0
input3,22273,25127019,7524,21.0,24724292.0,98.4,27882,14749,402727.0
b1,12268,10516201,4798,13.4,10308648.0,98.0,27882,7470,207553.0
b2,13185,13277845,5122,14.299999999999999,13022932.0,98.1,27882,8063,254913.0
b3,13643,15392846,5266,14.7,15100178.0,98.1,27882,8377,292668.0
