,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,146904,145373,99.0,143455,98.7
input2,202806,200478,98.9,191938,95.7
input3,155804,154000,98.8,147445,95.7
b1,261564,258717,98.9,256362,99.1
b2,269817,266826,98.9,263900,98.9
b3,217308,215058,99.0,212834,99.0
