,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,9695,10241555,3057,11.0,10032516.0,98.0,24624,6638,209039.0
input2,9241,10015203,2758,9.9,9815065.0,98.0,24624,6483,200138.0
input3,5044,1630552,1826,6.6000000000000005,1597635.0,98.0,24624,3218,32917.0
b1,4412,20175286,1615,5.800000000000001,19570630.0,97.0,24624,2797,604656.0
b2,4281,17621314,1589,5.7,17129693.0,97.2,24624,2692,491621.0
b3,4255,14379826,1576,5.7,13935622.0,96.89999999999999,24624,2679,444204.0
