,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,14135,20245597,4766,13.3,19878784.0,98.2,30743,9369,366813.0
input2,12282,14296267,3612,10.100000000000001,14036708.0,98.2,30743,8670,259559.0
input3,13948,22690163,4108,11.4,22281911.0,98.2,30743,9840,408252.0
b1,12512,14448855,4319,12.0,14192813.0,98.2,30743,8193,256042.0
b2,12099,15106693,3912,10.9,14848444.0,98.3,30743,8187,258249.0
b3,12542,16685115,4077,11.4,16382854.0,98.2,30743,8465,302261.0
