,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,265189.0,920.0,0.3,198756.0,74.9,65513.0,24.7,0.0,0.0
input2,211910.0,760.0,0.4,162840.0,76.8,48310.0,22.8,0.0,0.0
input3,205572.0,705.0,0.3,156011.0,75.9,48856.0,23.799999999999997,0.0,0.0
b1,261234.0,1160.0,0.4,237909.0,91.10000000000001,22165.0,8.5,0.0,0.0
b2,186997.0,686.0,0.4,170969.0,91.4,15342.0,8.200000000000001,0.0,0.0
b3,229621.0,1127.0,0.5,208719.0,90.9,19775.0,8.6,0.0,0.0
