,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,697,277709,225,65.0,265189.0,95.5,116,472,12520.0
input2,731,222982,228,65.9,211910.0,95.0,116,503,11072.0
input3,677,215479,224,64.7,205572.0,95.39999999999999,116,453,9907.0
b1,332,270346,200,57.8,261234.0,96.6,116,132,9112.0
b2,358,192951,190,54.900000000000006,186997.0,96.89999999999999,116,168,5954.0
b3,390,237267,194,56.10000000000001,229621.0,96.8,116,196,7646.0
